hs,as,hi,ai
8,2,0,3
53,3,0,2
4,14,0,2
48,5,0,2
6,5,0,2
8,7,0,2
4,5,1,0
5,8,1,0
5,4,1,0
5,4,1,0
5,8,1,0
5,9,1,0
5,15,1,0
5,14,1,0
10,8,1,0
6,2,1,2
8,14,1,4
5,8,1,0
8,3,1,2
3,34,1,0
5,8,1,0
2,14,1,0
9,34,2,0
11,5,2,0
11,9,2,0
16,6,2,0
2,6,2,0
11,16,2,0
19,5,2,0
14,6,2,0
5,4,2,0
16,4,2,0
16,8,2,0
6,4,2,1
10,12,2,0
2,4,2,1
16,6,2,0
6,34,2,0
6,4,2,0
16,5,2,1
5,4,2,1
16,4,2,0
2,5,2,1
10,5,2,0
16,5,2,0
5,2,2,1
5,14,2,0
9,5,2,0
10,6,2,1
16,4,2,0
9,4,2,0
16,4,2,1
2,9,2,0
6,15,2,1
39,19,2,1
9,11,2,1
2,5,2,0
16,6,2,0
12,9,2,1
6,11,2,0
2,6,2,0
9,8,2,0
16,6,2,1
4,6,2,1
9,4,2,1
2,14,2,0
8,35,2,1
16,4,2,0
10,12,2,0
6,15,2,0
16,5,2,1
14,9,2,0
2,6,2,0
6,4,2,0
5,6,2,0
2,5,2,0
6,11,2,1
16,6,2,0
9,11,2,0
5,16,2,0
6,11,2,0
6,16,2,0
11,16,2,1
6,4,2,1
16,11,2,0
9,14,2,0
5,9,2,0
11,8,2,0
9,10,2,1
2,6,2,0
19,4,2,0
11,12,2,1
2,5,2,0
19,5,2,1
2,6,2,0
5,6,2,1
10,6,2,0
8,16,2,1
2,39,2,0
16,6,2,0
2,14,2,0
10,5,2,0
2,4,2,0
14,5,2,1
10,4,2,0
6,5,2,1
6,5,2,1
46,4,2,0
2,11,2,1
6,8,2,0
2,5,2,1
3,6,2,0
10,3,2,1
5,3,2,1
46,53,2,1
8,4,2,1
8,4,2,0
3,10,2,0
3,3,2,0
14,4,2,0
46,4,2,0
3,3,2,0
3,3,2,0
12,46,2,0
10,3,2,0
8,46,2,0
3,3,2,1
8,46,2,0
46,3,2,1
19,3,2,0
19,3,2,0
5,53,2,0
3,5,2,1
14,46,2,0
5,3,2,0
5,3,2,1
6,3,2,0
19,5,2,0
5,17,2,0
3,6,2,1
5,13,2,0
2,14,2,1
6,14,2,1
2,14,2,0
19,3,2,0
3,23,2,1
19,3,2,1
16,6,2,0
14,23,2,1
53,10,2,1
10,53,2,0
14,9,2,1
14,36,2,1
3,6,2,0
2,3,2,0
3,14,2,0
3,8,2,0
2,3,2,1
2,16,2,0
23,6,2,1
2,6,2,0
3,3,2,0
3,14,2,1
3,5,2,0
9,8,2,0
2,3,2,0
5,15,2,0
5,6,2,1
9,7,2,0
5,3,2,1
5,3,2,0
12,6,2,0
6,14,2,0
4,5,2,0
5,4,2,1
5,4,2,0
2,15,2,0
2,4,2,0
2,12,2,0
10,5,2,1
16,4,2,0
2,5,2,0
5,40,2,0
5,4,2,0
16,5,2,0
16,4,2,1
5,18,2,0
14,4,2,1
5,4,2,1
16,6,2,1
15,9,2,1
19,4,2,1
9,4,2,0
5,19,2,3
5,9,2,0
9,5,2,1
2,4,2,0
9,4,2,0
9,4,2,0
10,8,2,0
16,15,2,0
10,5,2,0
10,4,2,0
14,15,2,0
16,14,2,1
19,5,2,0
10,19,2,1
15,4,2,0
2,12,2,0
10,6,2,1
6,5,2,1
19,5,2,1
5,15,2,1
2,6,2,0
12,4,2,1
2,5,2,0
5,15,2,0
11,6,2,0
2,12,2,1
9,5,2,0
6,11,2,0
14,9,2,1
2,5,2,1
2,15,2,1
19,5,2,1
6,4,2,0
2,15,2,0
19,5,2,0
11,16,2,0
11,4,2,1
6,11,2,0
5,15,2,0
9,15,2,0
12,14,2,0
5,19,2,1
2,5,2,0
5,6,2,0
2,5,2,1
5,6,2,0
6,8,2,1
9,6,2,0
9,16,2,1
6,14,2,1
19,5,2,1
10,5,2,0
6,12,2,0
6,16,2,0
6,17,2,0
10,40,2,0
10,29,2,1
5,19,2,0
5,16,2,0
16,4,2,1
2,5,2,0
16,6,2,1
2,16,2,0
2,5,2,0
6,53,2,0
6,8,2,1
6,4,2,0
2,6,2,0
11,6,2,0
6,3,2,0
5,3,2,0
2,4,2,0
2,3,2,0
5,4,2,0
5,3,2,0
5,3,2,0
3,4,2,0
3,39,2,1
3,6,2,0
14,4,2,0
46,54,2,0
14,46,2,0
19,10,2,0
19,3,2,1
3,39,2,0
5,3,2,0
14,18,2,1
2,3,2,0
2,3,2,0
2,3,2,0
2,10,2,0
2,19,2,3
3,5,2,1
3,3,2,1
5,12,2,1
5,5,2,0
19,5,2,0
19,3,2,1
5,8,2,0
5,14,2,0
3,46,2,1
3,5,2,1
46,19,2,0
46,5,2,1
19,3,2,1
3,46,2,0
5,43,2,0
5,53,2,0
5,3,2,0
3,5,2,1
3,5,2,0
3,5,2,0
3,53,2,1
6,3,2,0
3,3,2,1
3,3,2,1
3,19,2,1
10,14,2,1
5,10,2,0
5,3,2,1
5,20,2,0
5,48,2,0
2,3,2,0
3,6,2,0
3,12,2,0
5,11,2,0
19,4,2,0
5,20,2,0
5,3,2,0
2,3,2,0
3,14,2,1
2,5,2,0
21,5,2,0
2,3,2,0
2,10,2,1
12,14,2,0
3,8,2,1
10,3,2,1
5,3,2,1
14,46,2,1
5,3,2,1
2,3,2,0
2,5,2,0
5,3,2,0
17,5,2,1
9,17,2,0
5,9,2,0
5,53,2,1
6,5,2,0
10,17,2,0
19,3,2,0
5,53,2,0
12,25,2,0
3,23,2,1
19,3,2,0
23,54,2,0
14,54,2,0
6,23,2,0
3,6,2,1
23,12,2,1
14,36,2,1
2,6,2,0
23,53,2,1
23,13,2,0
2,5,2,0
6,10,2,1
2,14,2,1
10,12,2,0
5,3,2,1
9,22,2,0
10,14,2,0
6,3,2,0
16,3,2,0
23,36,2,1
3,6,2,0
2,6,2,0
2,8,2,0
16,10,2,1
3,6,2,0
8,7,2,3
5,8,2,0
35,12,2,1
9,7,2,1
2,5,2,1
6,3,2,3
5,30,2,0
6,3,2,0
5,23,2,0
9,3,2,0
10,35,2,1
3,6,2,0
2,6,2,1
3,16,2,0
16,3,2,1
16,3,2,0
16,3,2,0
6,10,2,1
6,17,2,0
3,14,2,0
2,4,3,0
2,14,3,0
2,5,3,1
19,5,3,1
47,39,3,0
47,5,3,0
19,5,3,1
19,5,3,0
5,19,3,2
5,6,3,1
14,10,3,2
47,5,3,2
19,14,3,0
2,5,3,0
5,8,3,0
14,6,3,1
14,4,3,1
2,6,3,0
5,19,3,2
2,6,3,0
2,6,3,0
2,5,3,0
14,19,3,0
6,5,3,2
2,6,3,1
47,10,3,1
2,6,3,0
2,6,3,0
2,6,3,0
2,6,3,0
2,19,3,0
5,8,3,0
5,19,3,0
14,8,3,1
11,5,3,2
5,42,3,0
2,6,3,2
2,6,3,0
2,5,3,1
3,11,3,1
3,11,3,0
11,3,3,2
5,10,3,0
19,3,3,0
19,3,3,2
2,6,3,0
2,3,3,0
2,6,3,0
2,3,3,2
9,7,3,0
2,6,3,0
2,4,3,0
2,6,3,0
47,19,3,0
5,14,3,1
2,5,3,1
2,5,3,0
14,5,3,2
2,5,3,0
2,5,3,0
2,16,3,0
16,14,3,0
5,4,3,1
2,5,3,0
19,5,3,1
14,19,3,2
2,6,3,0
6,11,3,2
47,11,3,0
2,19,3,0
14,19,3,1
2,19,3,0
2,5,3,1
2,15,3,0
2,6,3,0
5,15,3,1
19,11,3,1
2,6,3,0
2,5,3,0
14,6,3,0
5,14,3,0
2,8,3,0
2,6,3,1
2,5,3,1
19,14,3,0
10,5,3,0
6,10,3,2
19,14,3,0
8,14,3,1
2,6,3,0
2,6,3,1
3,14,3,1
2,6,3,0
2,6,3,1
14,8,3,2
14,8,3,2
3,19,3,0
19,3,3,1
5,19,3,0
5,3,3,2
3,14,3,2
2,17,3,0
14,12,3,2
3,14,3,1
2,6,3,1
2,6,3,0
5,35,3,0
5,35,3,1
2,3,3,0
35,8,3,2
23,35,3,0
3,6,3,1
3,5,3,1
3,2,3,2
2,3,2,1
2,3,2,1
5,54,4,1
5,24,4,1
