hi,ai,hs,as
47,39,2,1
6,3,3,1
16,6,2,0
12,32,2,0
10,6,2,0
23,46,2,0
15,46,2,0
15,48,2,1
23,32,2,1
39,23,2,0
23,46,2,0
46,78,1,0
46,79,2,0
46,32,2,0
16,46,2,0
12,46,2,0
10,78,2,0
23,35,1,0
10,56,3,2
43,12,2,0
19,46,2,0
23,20,2,1
23,25,2,0
46,23,2,0
10,23,2,1
46,78,2,0
19,56,3,0
19,78,2,0
23,78,2,1
9,23,2,0
10,78,2,0
23,32,2,0
12,23,3,2
56,19,3,2
56,6,2,0
56,19,3,0
23,78,1,0
23,29,2,0
56,16,2,1
56,16,2,1
19,43,2,1
46,80,2,0
15,46,2,1
20,46,2,1
46,72,1,0
46,54,2,0
23,46,2,0
19,56,2,0
19,56,2,1
23,16,2,0
16,20,2,1
16,46,2,0
56,19,3,1
23,19,2,0
23,46,2,0
4,23,2,1
3,6,3,1
19,56,3,0
19,4,2,0
19,56,3,1
81,46,2,1
56,9,3,1
16,54,2,1
19,10,2,1
23,46,2,0
19,23,2,0
19,23,3,0
12,78,3,1
23,54,2,0
16,56,2,0
19,16,2,1
19,16,2,1
19,16,2,0
23,48,1,0
10,4,2,0
16,6,2,1
6,16,2,1
10,9,2,0
23,78,2,0
56,16,2,1
10,6,2,0
56,16,2,1
16,6,2,1
19,10,2,1
19,56,3,0
78,23,2,1
19,23,3,1
10,16,3,1
19,56,3,1
19,23,2,0
19,23,3,0
16,56,2,1
19,82,2,1
19,6,2,0
16,78,2,0
19,56,3,0
19,23,2,0
19,23,2,0
16,56,2,0
16,56,2,0
6,56,2,0
56,19,3,0
6,16,2,1
19,56,3,0
23,54,1,0
19,23,2,1
19,16,2,0
19,6,2,0
19,56,3,0
16,19,2,0
19,16,2,0
16,19,2,0
19,16,2,0
19,16,2,1
19,16,2,0
19,6,2,0
6,16,2,1
16,56,2,0
19,6,2,1
19,56,3,0
16,78,2,0
19,56,3,1
58,27,2,0
16,19,2,0
19,16,2,0
16,19,2,1
19,16,2,0
19,58,3,1
58,82,2,0
58,78,2,0
23,56,2,0
23,58,0,1
19,23,2,1
19,83,2,1
58,83,2,0
58,83,2,0
19,6,2,0
19,39,2,1
19,56,3,0
71,15,3,2
58,32,2,0
19,5,2,1
19,16,2,0
5,56,2,0
58,82,1,0
5,6,2,1
58,43,3,0
16,56,2,1
16,56,2,1
58,61,1,0
58,68,2,0
16,56,2,0
16,56,2,1
16,23,2,1
19,17,2,0
19,23,3,0
16,56,2,1
16,56,2,1
16,19,2,1
16,23,2,0
6,19,2,0
56,19,3,1
19,5,2,0
19,56,3,0
71,14,2,1
19,56,3,2
19,16,2,1
23,56,2,0
56,58,3,1
6,19,2,1
6,23,2,0
58,32,3,0
5,19,2,0
5,56,2,1
58,19,3,0
58,17,3,1
58,32,2,0
58,29,2,0
58,17,3,1
5,19,2,0
56,6,2,0
17,6,2,0
16,19,2,1
58,19,3,0
5,19,2,0
58,32,2,0
58,32,2,0
5,19,2,0
5,19,2,0
5,19,2,0
5,19,2,0
19,6,2,0
23,82,2,0
17,16,2,1
6,19,2,1
19,6,2,1
19,23,3,0
6,19,2,1
39,23,1,2
16,6,2,0
19,56,3,1
19,56,3,1
19,56,3,1
19,36,3,1
58,9,2,0
56,6,2,1
19,56,3,1
19,36,2,0
19,56,3,0
23,14,2,0
23,43,2,0
56,78,2,0
56,6,2,0
19,56,3,1
19,14,3,0
6,56,2,1
56,19,3,0
56,19,3,0
56,19,3,1
23,78,2,0
23,16,2,0
23,36,3,2
56,36,2,0
56,16,2,1
19,23,2,0
56,19,2,0
19,6,2,0
56,19,3,1
3,58,3,2
6,2,2,0
19,6,2,0
19,36,3,1
56,6,3,0
14,19,2,0
6,36,2,0
19,56,3,2
6,19,2,1
58,78,2,0
16,5,2,1
2,6,3,0
16,6,2,0
2,56,3,0
2,36,2,1
58,56,2,0
56,19,2,0
58,19,3,1
39,56,2,0
17,58,2,1
19,36,2,0
16,5,2,0
16,5,2,1
4,58,2,1
58,16,2,1
2,6,3,0
58,6,2,0
5,56,2,0
5,39,2,1
23,54,2,0
58,84,2,0
58,84,2,0
58,54,2,0
58,54,2,0
58,54,2,0
2,56,3,0
16,5,2,0
23,19,2,1
23,85,1,0
36,23,2,1
5,56,2,0
16,6,2,0
8,60,2,1
2,6,2,0
23,79,2,0
6,58,2,1
2,16,2,0
58,78,2,0
58,46,2,0
58,46,2,0
56,5,3,2
12,78,2,0
6,46,2,0
2,6,2,0
23,46,2,0
23,56,2,3
5,23,1,0
5,56,2,1
5,6,2,1
56,14,3,1
16,23,2,1
2,16,2,1
6,23,2,0
56,16,4,0
56,16,3,0
16,6,2,1
56,19,2,0
16,46,2,1
56,8,3,0
6,8,2,0
8,35,4,0
2,56,3,0
16,6,2,1
56,19,3,1
46,78,2,1
46,43,1,0
16,6,2,1
56,6,2,1
56,16,2,0
56,16,2,0
56,6,2,1
56,16,2,1
46,29,2,0
56,36,2,1
56,19,3,1
19,5,2,1
56,19,3,2
46,82,2,1
2,36,2,0
19,56,3,0
56,2,3,1
19,39,2,1
2,17,3,0
23,35,2,0
2,56,3,1
2,6,2,1
56,36,2,0
16,6,2,0
16,19,2,0
56,16,2,0
23,36,2,0
6,56,2,1
23,17,3,1
19,8,2,0
8,56,3,1
56,14,2,1
16,56,2,0
56,16,2,0
56,16,2,0
2,6,3,2
56,2,2,0
2,6,2,0
23,25,1,0
6,23,2,0
2,56,3,0
