hs,as,hi,ai
47,39,2,1
6,3,3,1
16,6,2,0
12,32,2,0
10,6,2,0
23,46,2,0
15,46,2,0
15,48,2,1
23,32,2,1
39,23,2,0
23,46,2,0
46,2,1,0
46,3,2,0
46,32,2,0
16,46,2,0
12,46,2,0
10,2,2,0
23,35,1,0
10,3,3,2
43,12,2,0
19,46,2,0
23,20,2,1
23,25,2,0
46,23,2,0
10,23,2,1
46,2,2,0
19,3,3,0
19,2,2,0
23,2,2,1
9,23,2,0
10,2,2,0
23,32,2,0
12,23,3,2
3,19,3,2
3,6,2,0
3,19,3,0
23,2,1,0
23,29,2,0
3,16,2,1
3,16,2,1
19,43,2,1
46,4,2,0
15,46,2,1
20,46,2,1
46,19,1,0
46,54,2,0
23,46,2,0
19,3,2,0
19,3,2,1
23,16,2,0
16,20,2,1
16,46,2,0
3,19,3,1
23,19,2,0
23,46,2,0
4,23,2,1
3,6,3,1
19,3,3,0
19,4,2,0
19,3,3,1
5,46,2,1
3,9,3,1
16,54,2,1
19,10,2,1
23,46,2,0
19,23,2,0
19,23,3,0
12,2,3,1
23,54,2,0
16,3,2,0
19,16,2,1
19,16,2,1
19,16,2,0
23,48,1,0
10,4,2,0
16,6,2,1
6,16,2,1
10,9,2,0
23,2,2,0
3,16,2,1
10,6,2,0
3,16,2,1
16,6,2,1
19,10,2,1
19,3,3,0
2,23,2,1
19,23,3,1
10,16,3,1
19,3,3,1
19,23,2,0
19,23,3,0
16,3,2,1
19,6,2,1
19,6,2,0
16,2,2,0
19,3,3,0
19,23,2,0
19,23,2,0
16,3,2,0
16,3,2,0
6,3,2,0
3,19,3,0
6,16,2,1
19,3,3,0
23,54,1,0
19,23,2,1
19,16,2,0
19,6,2,0
19,3,3,0
16,19,2,0
19,16,2,0
16,19,2,0
19,16,2,0
19,16,2,1
19,16,2,0
19,6,2,0
6,16,2,1
16,3,2,0
19,6,2,1
19,3,3,0
16,2,2,0
19,3,3,1
5,27,2,0
16,19,2,0
19,16,2,0
16,19,2,1
19,16,2,0
19,5,3,1
5,6,2,0
5,2,2,0
23,3,2,0
23,5,0,1
19,23,2,1
19,7,2,1
5,7,2,0
5,7,2,0
19,6,2,0
19,39,2,1
19,3,3,0
18,15,3,2
5,32,2,0
19,5,2,1
19,16,2,0
5,3,2,0
5,6,1,0
5,6,2,1
5,43,3,0
16,3,2,1
16,3,2,1
5,8,1,0
5,15,2,0
16,3,2,0
16,3,2,1
16,23,2,1
19,17,2,0
19,23,3,0
16,3,2,1
16,3,2,1
16,19,2,1
16,23,2,0
6,19,2,0
3,19,3,1
19,5,2,0
19,3,3,0
18,14,2,1
19,3,3,2
19,16,2,1
23,3,2,0
3,5,3,1
6,19,2,1
6,23,2,0
5,32,3,0
5,19,2,0
5,3,2,1
5,19,3,0
5,17,3,1
5,32,2,0
5,29,2,0
5,17,3,1
5,19,2,0
3,6,2,0
17,6,2,0
16,19,2,1
5,19,3,0
5,19,2,0
5,32,2,0
5,32,2,0
5,19,2,0
5,19,2,0
5,19,2,0
5,19,2,0
19,6,2,0
23,6,2,0
17,16,2,1
6,19,2,1
19,6,2,1
19,23,3,0
6,19,2,1
39,23,1,2
16,6,2,0
19,3,3,1
19,3,3,1
19,3,3,1
19,36,3,1
5,9,2,0
3,6,2,1
19,3,3,1
19,36,2,0
19,3,3,0
23,14,2,0
23,43,2,0
3,2,2,0
3,6,2,0
19,3,3,1
19,14,3,0
6,3,2,1
3,19,3,0
3,19,3,0
3,19,3,1
23,2,2,0
23,16,2,0
23,36,3,2
3,36,2,0
3,16,2,1
19,23,2,0
3,19,2,0
19,6,2,0
3,19,3,1
3,5,3,2
6,2,2,0
19,6,2,0
19,36,3,1
3,6,3,0
14,19,2,0
6,36,2,0
19,3,3,2
6,19,2,1
5,2,2,0
16,5,2,1
2,6,3,0
16,6,2,0
2,3,3,0
2,36,2,1
5,3,2,0
3,19,2,0
5,19,3,1
39,3,2,0
17,5,2,1
19,36,2,0
16,5,2,0
16,5,2,1
4,5,2,1
5,16,2,1
2,6,3,0
5,6,2,0
5,3,2,0
5,39,2,1
23,54,2,0
5,8,2,0
5,8,2,0
5,54,2,0
5,54,2,0
5,54,2,0
2,3,3,0
16,5,2,0
23,19,2,1
23,9,1,0
36,23,2,1
5,3,2,0
16,6,2,0
8,7,2,1
2,6,2,0
23,3,2,0
6,5,2,1
2,16,2,0
5,2,2,0
5,46,2,0
5,46,2,0
3,5,3,2
12,2,2,0
6,46,2,0
2,6,2,0
23,46,2,0
23,3,2,3
5,23,1,0
5,3,2,1
5,6,2,1
3,14,3,1
16,23,2,1
2,16,2,1
6,23,2,0
3,16,4,0
3,16,3,0
16,6,2,1
3,19,2,0
16,46,2,1
3,8,3,0
6,8,2,0
8,35,4,0
2,3,3,0
16,6,2,1
3,19,3,1
46,2,2,1
46,43,1,0
16,6,2,1
3,6,2,1
3,16,2,0
3,16,2,0
3,6,2,1
3,16,2,1
46,29,2,0
3,36,2,1
3,19,3,1
19,5,2,1
3,19,3,2
46,6,2,1
2,36,2,0
19,3,3,0
3,2,3,1
19,39,2,1
2,17,3,0
23,35,2,0
2,3,3,1
2,6,2,1
3,36,2,0
16,6,2,0
16,19,2,0
3,16,2,0
23,36,2,0
6,3,2,1
23,17,3,1
19,8,2,0
8,3,3,1
3,14,2,1
16,3,2,0
3,16,2,0
3,16,2,0
2,6,3,2
3,2,2,0
2,6,2,0
23,25,1,0
6,23,2,0
2,3,3,0
